,id,layer,abrasion,oxid,weat,taphorecord,coords.x1,coords.x2,coords.x3
668,1218,D,NA,NA,NA,NA,3.3320000172,2.4539999962,-2.1530001163
669,1223,D,NA,NA,NA,NA,3.1540000439,2.5799999237,-2.1489999294
670,1123,D,NA,NA,NA,NA,4.0590000153,2.5929999352,-2.1080000401
671,1129,D,NA,NA,NA,NA,4.1079998016,2.5739998817,-2.1129999161
672,1096,D,NA,NA,NA,NA,5.0850000381,2.3900001049,-2.0680000782
673,1103,D,NA,NA,NA,NA,5.6680002213,2.0429999828,-2.0789999962
674,1224,D,NA,NA,NA,NA,6.8379998207,2.1760001183,-2.0629999638
675,1229,D,NA,NA,NA,NA,6.875,2.1400001049,-2.0620000362
676,1234,D,NA,NA,NA,NA,6.3489999771,2.4749999046,-2.1040000916
677,1241,D,NA,NA,NA,NA,6.3390002251,2.4040000439,-2.1210000515
678,1245,D,NA,NA,NA,NA,6.5630002022,2.3020000458,-2.0460000038
679,1251,D,NA,NA,NA,NA,6.3289999962,2.2620000839,-2.1449999809
680,1256,D,NA,NA,NA,NA,6.3979997635,2.6300001144,-2.0380001068
681,1015,D,NA,NA,NA,NA,6.5289998055,1.7699999809,-2.0940001011
682,1029,D,NA,NA,NA,NA,6.4310002327,1.8839999437,-2.0969998837
683,1046,D,NA,NA,NA,NA,6.5339999199,1.8259999752,-2.1240000725
684,1053,D,NA,NA,NA,NA,6.5529999733,1.8539999723,-2.131000042
685,1060,D,NA,NA,NA,NA,6.7030000687,1.8259999752,-2.0850000381
686,1092,D,NA,NA,NA,NA,6.4869999886,1.9550000429,-2.1029999256
687,1097,D,NA,NA,NA,NA,6.7490000725,1.7829999924,-2.0969998837
688,1150,D,NA,NA,NA,NA,8.5920000076,1.5,-2.0680000782
689,1155,D,NA,NA,NA,NA,8.517999649,1.5329999924,-2.0840001106
690,1163,D,NA,NA,NA,NA,8.3739995956,1.5379999876,-2.0690000057
691,1171,D,NA,NA,NA,NA,8.3839998245,1.5859999657,-2.0769999027
692,1178,D,NA,NA,NA,NA,8.3950004578,1.6059999466,-2.0639998913
693,1184,D,NA,NA,NA,NA,8.3420000076,1.307000041,-2.0669999123
694,1190,D,NA,NA,NA,NA,8.3140001297,1.6330000162,-2.0610001087
695,1196,D,NA,NA,NA,NA,8.2290000916,1.5169999599,-2.1040000916
696,1203,D,NA,NA,NA,NA,8.4130001068,1.6699999571,-2.0460000038
697,1219,D,NA,NA,NA,NA,8.5209999084,1.8229999542,-2.0550000668
698,1225,D,NA,NA,NA,NA,8.2229995728,1.5529999733,-2.0840001106
699,1235,D,NA,NA,NA,NA,8.3050003052,1.7100000381,-2.117000103
700,1230,D,NA,NA,NA,NA,3.3029999733,2.8340001106,-2.1570000648
701,1237,D,NA,NA,NA,NA,3.8459999561,2.6949999332,-2.1619999409
702,1246,D,NA,NA,NA,NA,3.3090000153,2.7190001011,-2.1930000782
703,1257,D,NA,NA,NA,NA,3.2409999371,2.8289999962,-2.1730000973
704,1261,D,NA,NA,NA,NA,3.3250000477,2.885999918,-2.1679999828
705,1273,D,NA,NA,NA,NA,3.2829999924,2.625,-2.2230000496
